Event;Date;Time;Total trip time;Place;Slip;Total Distance;Avg speed;FOC;LOAD ;RPM
EOSP;7/9/2024;10:30;10;Arrival. khalifa ;23.6;117;11.7;6.5 Ê;58%;144
;;;;;;;; Ê;;
FAOP;8/9/2024;1:48;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;8/9/2024;12:00;10.2;Arrival .ruwais;15.9;127.7;12.5;6.1 Ê;59%;140
;;;;;;;; Ê;;
FAOP;9/9/2024;21:48;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;10/9/2024;7:54;10.1;Arrival. khalifa ;21.7;120.9;12;6.5 Ê;58%;144
;;;;;;;; Ê;;
FAOP;11/9/2024;2:12;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;11/9/2024;12:00;9.8;Arrival .ruwais;15.5;128;13.1;6.4 Ê;57%;146
;;;;;;;; Ê;;
FAOP;12/9/2024;4:30;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;12/9/2024;14:42;10.2;Arrival. khalifa ;24.8;117.5;11.5;6.6 Ê;57%;144
;;;;;;;; Ê;;
FAOP;13/9/2024;8:30;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;13/9/2024;18:54;10.4;Arrival .ruwais;18.5;128.9;12.4;6.6 Ê;61%;144
;;;;;;;; Ê;;
FAOP;14/9/2024;18:30;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;15/9/2024;5:48;11.3;Arrival. khalifa ;22.7;118.5;10.5;5.4 Ê;45%;128
;;;;;;;; Ê;;
FAOP;16/9/2024;3:00;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
