,,,,,,,,,,,,,,,
,,,Event,Date,,Time,Total trip time,S t a t u s,Place,Slip,Total Distance,Avg speed,FOC,LOAD ,RPM
,,,EOSP,05/18/2024,,03:00:00 PM,0.75,,Arrival.KHL .KP ,26,120.6,160.8,8.8  ,65%,142
,,,,,,,,,,,,,  ,,
,,,FAOP,05/19/2024,,03:06:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,05/20/2024,,03:00:00 AM,23.1597222222222,,Arrival .RWS,21.9,119.5,5.15982008995502,6.4  ,44%,121.2
,,,,,,,,,,,,,  ,,
,,,FAOP,05/21/2024,,12:06:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,05/21/2024,,11:54:00 AM,0.819444444444445,,Arrival.KHL .KP ,21.5,119,145.220338983051,6.7  ,46%,121.1
,,,,,,,,,,,,,  ,,
,,,FAOP,05/25/2024,,12:06:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,05/25/2024,,11:00:00 PM,0.756944444444445,,Arrival.KHL .KP ,30.5,101.3,133.82752293578,7.2  ,52%,126
,,,,,,,,,,,,,  ,,
,,,FAOP,05/27/2024,,11:06:00 AM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,05/27/2024,,09:00:00 PM,0.6875,,Arrival .RWS,22.4,113.7,165.381818181818,7.7  ,61%,139.5
,,,,,,,,,,,,,  ,,
,,,FAOP,05/28/2024,,06:06:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,05/29/2024,,06:00:00 AM,23.1597222222222,,Arrival.KHL .KP ,29.4,108.3,4.67622188905547,6.7  ,42%,121.4
,,,,,,,,,,,,,  ,,
,,,FAOP,05/30/2024,,12:06:00 AM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,05/30/2024,,11:00:00 AM,0.756944444444444,,Arrival .RWS,24.6,120.1,158.664220183486,8.3  ,64%,137.7
,,,,,,,,,,,,,  ,,
,,,FAOP,06/03/2024,,11:06:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,06/04/2024,,08:00:00 AM,22.9513888888889,,Arrival .RWS,15.1,115.7,5.04108925869894,7.4  ,61%,144.3
,,,,,,,,,,,,,  ,,
,,,FAOP,06/05/2024,,09:06:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,06/05/2024,,05:00:00 PM,0.548611111111111,,Arrival.KHL .KP ,13.8,109.9,200.324050632911,7.7  ,62%,153.1
,,,,,,,,,,,,,  ,,
,,,FAOP,06/06/2024,,02:06:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,06/07/2024,,12:00:00 AM,23.0208333333333,,Arrival .RWS,9.8,115.2,5.0041628959276,52.  ,30%,121.2
,,,,,,,,,,,,,  ,,
,,,FAOP,06/07/2024,,07:06:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,06/08/2024,,06:00:00 AM,23.0902777777778,,Arrival.KHL .KP ,17.1,116,5.02375939849624,5.9  ,32%,121
,,,,,,,,,,,,,  ,,
,,,FAOP,06/09/2024,,04:06:00 AM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,06/09/2024,,02:00:00 PM,0.6875,,Arrival .RWS,14.5,119.2,173.381818181818,6.4  ,38%,130.1
,,,,,,,,,,,,,  ,,
,,,FAOP,06/11/2024,,02:18:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,06/11/2024,,12:30:00 PM,0.708333333333334,,Arrival.KHL .KP ,16.1,112.8,159.247058823529,5.7  ,34%,121.3
,,,,,,,,,,,,,  ,,
,,,FAOP,06/12/2024,,08:06:00 AM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,06/12/2024,,06:00:00 PM,0.6875,,Arrival .RWS,12.8,121.2,176.290909090909,6.9  ,41%,133.8
,,,,,,,,,,,,,  ,,
,,,FAOP,06/14/2024,,03:42:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,06/14/2024,,02:30:00 PM,0.75,,Arrival.KHL .KP ,15.3,119,158.666666666667,5.37  ,32%,121
,,,,,,,,,,,,,  ,,
,,,FAOP,06/15/2024,,05:06:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,06/16/2024,,05:00:00 AM,23.1597222222222,,Arrival .RWS,21,121.2,5.23322338830585,6.3  ,30%,121.6
,,,,,,,,,,,,,  ,,
,,,FAOP,06/17/2024,,04:06:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,06/17/2024,,02:00:00 PM,0.6875,,Arrival.KHL .KP ,19.3,113.8,165.527272727273,7.1  ,47%,131.6
,,,,,,,,,,,,,  ,,
,,,FAOP,06/18/2024,,02:06:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,06/19/2024,,02:00:00 AM,23.1597222222222,,Arrival .RWS,19.7,122.6,5.29367316341829,6.5  ,31%,120.8
,,,,,,,,,,,,,  ,,
,,,FAOP,06/20/2024,,02:06:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,06/20/2024,,01:00:00 PM,0.756944444444444,,Arrival.KHL .KP ,20.3,112.8,149.020183486239,6.  ,30%,121
,,,,,,,,,,,,,  ,,
,,,FAOP,06/21/2024,,12:06:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,06/21/2024,,07:42:00 PM,0.527777777777778,,Arrival .RWS,12.2,111.8,211.831578947368,8.4  ,77%,157.8
,,,,,,,,,,,,,  ,,
,,,FAOP,06/22/2024,,04:06:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,06/23/2024,,04:00:00 AM,23.1597222222222,,Arrival.KHL .KP ,26.3,112.6,4.86188905547226,6.8  ,32%,121
,,,,,,,,,,,,,  ,,
,,,FAOP,06/24/2024,,04:06:00 AM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,06/24/2024,,01:00:00 PM,0.618055555555556,,Arrival .RWS,18.1,118.6,191.892134831461,8.7  ,64%,151.3
,,,,,,,,,,,,,  ,,
,,,FAOP,06/25/2024,,12:06:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,06/25/2024,,08:48:00 PM,0.604166666666667,,Arrival.KHL .KP ,17.9,115.5,191.172413793103,9.  ,65%,152.3
,,,,,,,,,,,,,  ,,
,,,FAOP,06/26/2024,,04:06:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
